TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,146375,,NYKAA,,2026-03-30,2026-03-30,247.50,CE,NYKAA26MAR247.5CE,1.10,1.35,0.15,0.15,0.15,2.20,239.65,0.15,381250,-65625,89,68989687.50,62,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145401,,NYKAA,,2026-03-30,2026-03-30,265.00,CE,NYKAA26MAR265CE,0.05,0.05,0.05,0.05,0.05,0.05,239.65,0.05,2331250,0,2,1656562.50,2,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146475,,NYKAA,,2026-04-28,2026-04-28,210.00,CE,NYKAA26APR210CE,0.00,0.00,0.00,34.65,0.00,34.65,239.65,31.20,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134756,,NYKAA,,2026-04-28,2026-04-28,242.50,CE,NYKAA26APR242.5CE,10.40,11.50,9.75,9.75,9.75,9.95,239.65,7.75,59375,56250,21,16615625.00,21,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146595,,NYKAA,,2026-04-28,2026-04-28,290.00,CE,NYKAA26APR290CE,0.00,0.00,0.00,1.35,1.35,1.35,239.65,0.15,15625,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134885,,NYKAA,,2026-05-26,2026-05-26,200.00,CE,NYKAA26MAY200CE,0.00,0.00,0.00,65.62,0.00,65.62,239.65,42.15,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145386,,NYKAA,,2026-03-30,2026-03-30,225.00,PE,NYKAA26MAR225PE,0.30,0.45,0.15,0.20,0.20,0.40,239.65,0.20,106250,-56250,26,18306406.25,19,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134900,,NYKAA,,2026-05-26,2026-05-26,235.00,PE,NYKAA26MAY235PE,0.00,0.00,0.00,6.42,0.00,6.42,239.65,8.45,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134922,,NYKAA,,2026-05-26,2026-05-26,260.00,PE,NYKAA26MAY260PE,0.00,0.00,0.00,15.74,0.00,15.74,239.65,23.20,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134771,,NYKAA,,2026-04-28,2026-04-28,277.50,PE,NYKAA26APR277.5PE,0.00,0.00,0.00,24.65,24.65,24.65,239.65,37.05,15625,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134896,,NYKAA,,2026-05-26,2026-05-26,225.00,PE,NYKAA26MAY225PE,0.00,0.00,0.00,4.08,0.00,4.08,239.65,4.85,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,145374,,NYKAA,,2026-03-30,2026-03-30,195.00,PE,NYKAA26MAR195PE,0.00,0.00,0.00,0.60,0.00,0.60,239.65,0.05,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,135053,,NYKAA,,2026-05-26,2026-05-26,300.00,CE,NYKAA26MAY300CE,0.00,0.00,0.00,7.36,0.00,7.36,239.65,0.50,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134749,,NYKAA,,2026-04-28,2026-04-28,222.50,PE,NYKAA26APR222.5PE,0.00,0.00,0.00,2.18,0.00,2.18,239.65,2.10,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134752,,NYKAA,,2026-04-28,2026-04-28,232.50,CE,NYKAA26APR232.5CE,0.00,0.00,0.00,35.43,0.00,35.43,239.65,13.15,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146590,,NYKAA,,2026-04-28,2026-04-28,275.00,PE,NYKAA26APR275PE,0.00,0.00,0.00,38.00,38.00,38.00,239.65,34.70,3125,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,146508,,NYKAA,,2026-04-28,2026-04-28,245.00,CE,NYKAA26APR245CE,10.85,10.85,7.80,7.95,7.95,10.85,239.65,7.95,121875,56250,40,31768906.25,36,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,134889,,NYKAA,,2026-05-26,2026-05-26,210.00,CE,NYKAA26MAY210CE,0.00,0.00,0.00,56.65,0.00,56.65,239.65,33.20,0,0,0,0.00,0,F1,3125,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,135022,,NYKAA,,2026-05-26,2026-05-26,285.00,CE,NYKAA26MAY285CE,0.00,0.00,0.00,11.28,0.00,11.28,239.65,1.30,0,0,0,0.00,0,F1,3125,,,,,
